depth	min	max	median	mean
0	-68.5	-68.5	-68.5	-68.5
1	-67.4	-67.2	-67.3	-67.3
2	-65.9	-65.5	-65.7	-65.7
3	-64.1	-63.6	-63.8	-63.8
4	-62.3	-61.6	-62	-62
5	-60.3	-59.5	-59.9	-59.9
6	-58	-57	-57.5	-57.5
7	-55.6	-54.4	-55	-55
8	-53.2	-51.8	-52.5	-52.5
9	-50.8	-49.2	-50	-50
10	-48.2	-46.4	-47.3	-47.3
11	-46	-44	-45	-45
12	-43.6	-41.4	-42.5	-42.5
13	-41.2	-38.8	-40	-40
14	-38.8	-36.2	-37.5	-37.5
15	-36.2	-33.2	-34.7	-34.7
16	-33.8	-30.6	-32.2	-32.2
17	-31.1	-27.6	-29.3	-29.3
18	-28.2	-24.2	-26.2	-26.2
19	-25.5	-21	-23.2	-23.2
20	-21.5	-16.5	-18.9	-18.9
21	-13.7	-9.2	-11.6	-11.5
22	-2.7	3.1	0.2	0.2
23	12.9	21.1	17.3	17.2
24	31.8	46.6	39.6	39.6
25	42.9	65.1	54.2	54.3
26	49.4	79.5	63.7	64
27	54.5	94.2	72.2	73
28	58.7	110.4	79.4	80.9
29	62.5	132.1	87.1	89.9
30	67.5	150.1	95.1	99
31	73.7	166.1	103.1	108.2
32	80.2	182.6	110.9	117.3
33	87.2	197.6	118.9	126.4
34	94.3	212.2	127.1	135.6
35	101.4	227.3	135.7	145
36	108.6	239.8	145.3	154.7
37	116.3	250.2	155.1	164.5
38	124.7	261	165.2	174.5
39	132.1	272.5	175.3	184.4
40	139.7	283.6	185.8	194.4
41	147.8	293.9	196.5	204.5
42	156.4	305	207.2	214.6
43	164.5	315.9	217.7	224.6
44	172.3	328.5	228.1	234.7
45	180.4	340.2	238.7	244.8
46	187.9	351.2	249.1	255
47	196.2	363.2	259.2	265.1
48	204	374.9	269.3	275.2
49	211.3	388.2	279.6	285.3
50	217.7	399.5	289.9	295.3
