ID,Depth..cm.,Density.g.cm.3,X210Pb..Bq.kg.,sd.210Pb.,Thickness..cm.,Info
1,1,0.10009133513146,99.6860197491129,4.48587088871008,1,2020
4,4,0.103342304616167,243.316047617597,10.9492221427919,1,4
5,5,0.10547002720851,273.189899306823,12.2935454688071,1,NA
7,7,0.111160454408323,269.918910549958,12.1463509747481,1,NA
10,10,0.122780489534019,201.531671999052,9.06892523995735,1,NA
13,13,0.137064959993606,122.489253927777,5.51201642674998,1,NA
16,16,0.152615602292742,63.7232621841813,2.86754679828816,1,NA
19,19,0.167910211215491,31.4713473511999,1.416210630804,1,NA
22,22,0.181451643876689,21.0158937526815,1,1,NA
23,23,0.185339186495405,18.9185396820109,1,1,NA
25,25,0.191914370498749,16.7604202221407,1,1,NA
27,27,0.196657695383833,15.8365769407439,1,1,NA
28,28,0.198274226501799,14.5747068531993,1,1,NA
29,29,0.199361855092181,15.4600354421461,1,1,NA
30,30,0.19990866486854,14.8512894875218,1,1,NA
